classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::eclipse::pde::internal::ui::wizards::templates::PreprocessorParser ,11,1,1,10,120,0,23,0,238,16,6,23,12,0,4,81,67,0,0,0,0,0,0
org::eclipse::pde::internal::core::PluginPathFinder ,17,1,6,11,36,0,2,0,195,9,6,2,5,0,4,112,47,1,0,0,0,0,1
org::eclipse::pde::internal::ui::views::dependencies::CalleesListContentProvider ,4,4,2,2,6,0,1,0,52,4,18,0,0,1,4,33,18,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::EclipseLaunchShortcut ,23,2,3,20,78,0,3,0,164,13,13,2,7,0,1,97,52,1,0,0,0,0,1
org::eclipse::pde::internal::core::ExternalModelManager ,10,2,2,8,10,0,1,0,53,5,11,1,0,0,2,31,14,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::target::ContentSection ,43,5,8,36,528,0,10,2,520,33,72,9,16,0,7,276,118,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::BaseSearchAction ,0,1,0,0,3,2,0,0,7,3,0,0,0,0,2,6,2,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::plugin::PluginLibraryNode ,8,4,2,6,136,0,1,18,124,17,184,1,0,0,17,81,42,0,0,0,0,0,0
org::eclipse::pde::internal::core::schema::SchemaInclude ,11,3,2,10,28,0,4,6,55,8,32,4,1,0,7,26,15,0,0,0,0,0,0
org::eclipse::pde::internal::core::schema::SchemaElementHandler ,4,2,1,3,21,0,5,1,49,7,36,5,0,0,5,20,15,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::contentassist::XMLInsertionComputer ,22,1,3,19,105,0,0,0,290,15,6,0,0,0,4,124,82,0,0,0,0,0,0
org::eclipse::pde::internal::core::variables::TargetOSArchVariableResolver ,1,1,0,1,0,0,0,0,3,1,6,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::GenericSourcePage ,1,2,1,0,15,0,0,0,18,6,56,0,0,0,5,6,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::FormOutlinePage ,19,2,14,8,153,11,6,1,141,18,4,3,1,0,14,63,43,0,0,0,0,0,0
org::eclipse::pde::internal::core::exports::PluginExportOperation ,7,3,2,5,6,0,0,8,29,4,36,0,0,0,1,16,10,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::PDEDropAdapter ,5,1,1,4,36,0,3,0,114,9,0,3,0,0,3,30,26,0,0,0,0,0,0
org::eclipse::pde::internal::ui::commands::CommandView ,1,1,0,1,21,0,1,0,23,7,0,1,0,0,7,14,7,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpDocumentHandler ,2,3,1,2,3,0,1,2,10,3,54,1,0,0,1,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::BasePDEScanner ,10,1,6,4,36,5,1,0,51,9,0,1,0,0,4,31,15,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::spy::SpyIDEUtil ,4,1,1,3,3,0,0,0,38,3,6,0,0,0,3,18,7,0,0,0,0,0,0
org::eclipse::pde::internal::core::cheatsheet::comp::CompCS ,10,4,1,9,120,0,3,62,93,16,57,3,0,0,11,42,24,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::JarSelectionValidator ,3,1,1,2,6,1,2,0,38,4,6,2,1,0,3,12,12,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::registry::ParentAdapter ,2,2,2,0,3,6,1,0,8,3,2,0,0,1,2,4,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::parts::FormEntry ,68,1,66,2,153,1,8,0,196,18,6,6,5,1,13,61,54,0,0,0,0,0,0
org::eclipse::pde::internal::core::schema::SchemaDescriptor ,7,1,5,2,15,0,5,0,33,6,11,5,0,0,6,13,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::exports::AntGeneratingExportWizard ,15,2,2,13,28,2,1,12,112,8,11,0,1,0,1,78,32,1,0,0,0,0,1
org::eclipse::pde::internal::core::feature::FeatureInstallHandler ,4,3,2,2,28,0,3,8,41,8,55,3,0,0,7,22,11,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::NodeDocumentHandler ,8,2,1,7,21,3,1,2,81,7,47,1,0,0,1,41,19,0,0,0,0,0,0
org::eclipse::ui::internal::views::log::LogView ,36,1,6,35,3003,0,55,0,1326,78,0,34,52,2,15,461,235,4,2,1,0,0,1
org::eclipse::pde::internal::ui::editor::SystemFileMarkerAnnotationModel ,2,1,2,0,10,0,0,0,10,5,0,0,0,0,1,5,4,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::DocumentNodeFactory ,9,1,3,6,10,3,0,0,29,5,9,0,0,0,4,15,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::PackageSelectionDialog ,2,1,1,1,1,0,0,0,12,2,0,0,0,0,1,5,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::actions::CompCSAddTaskAction ,5,2,1,4,1,0,0,1,20,2,3,0,0,0,2,10,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::DataPortabilitySection ,11,3,0,11,231,1,5,0,277,22,21,5,7,0,15,107,54,0,0,0,0,0,0
org::eclipse::pde::internal::core::site::SiteFeature ,16,5,2,14,276,0,9,20,191,24,90,9,0,0,22,116,60,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::EnvironmentSection ,15,3,1,14,78,0,9,0,233,13,21,9,7,0,4,84,30,1,0,0,0,0,1
org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewComparator ,4,1,2,2,6,0,1,0,23,4,0,1,2,0,2,12,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::feature::BasePluginListPage ,4,1,0,4,6,1,1,0,18,4,0,0,0,0,4,15,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::site::SiteInputContextManager ,2,2,1,1,3,0,0,0,10,3,29,0,1,0,2,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::build::BuildSourcePage ,18,4,4,14,45,0,0,0,54,10,72,0,1,0,7,31,19,1,0,0,0,0,1
org::eclipse::pde::internal::core::plugin::AttributeChangedEvent ,2,2,2,0,1,0,2,4,7,2,19,1,0,0,2,2,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::PixelConverter ,1,1,1,0,10,0,1,0,18,5,6,1,0,0,5,11,5,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::PDESourcePathProvider ,4,1,0,4,10,0,1,0,57,5,0,0,3,0,2,36,15,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::details::CompCSIntroductionTextListener ,7,1,1,6,45,0,2,0,67,10,6,2,4,0,6,26,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::Activator ,1,1,1,0,10,0,1,0,17,5,0,1,0,0,5,11,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::InfoFormPage ,6,2,1,5,10,0,3,0,27,5,28,2,0,0,3,17,5,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::CreateManifestOperation ,5,1,1,4,15,0,1,0,73,6,6,1,4,0,2,43,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::elements::DefaultContentProvider ,0,1,0,0,3,46,0,0,7,3,6,0,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::FileExtensionsFilter ,4,1,3,1,10,0,1,0,52,5,0,1,2,0,3,17,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::product::SynchronizationOperation ,7,3,2,5,10,0,0,2,32,5,15,0,3,0,2,24,9,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::validation::ControlValidationUtility ,9,1,0,9,15,0,0,0,106,6,6,0,0,0,6,32,22,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::PDEJavaHelperUI ,18,1,5,13,21,0,1,0,169,7,6,1,2,0,5,77,30,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::build::BuildInputContext ,14,2,5,9,45,0,2,1,86,10,39,1,3,0,3,59,20,1,0,0,0,0,1
org::eclipse::pde::internal::core::feature::FeatureData ,10,4,3,7,231,1,7,15,131,22,73,7,1,0,18,80,33,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::CheckCommand ,3,4,1,2,15,0,1,2,31,6,35,0,0,0,3,16,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::HelpEditorUtil ,10,1,6,4,15,0,3,0,61,6,6,1,2,0,4,30,17,0,0,0,0,0,0
org::eclipse::pde::internal::core::plugin::Extensions ,5,4,2,3,15,0,3,9,44,6,91,3,0,0,5,19,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::ChoiceSelectionCommand ,8,2,1,7,45,0,2,0,88,10,18,1,4,0,5,43,24,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::osgi::HelloOSGiServiceTemplate ,3,5,1,2,28,0,2,13,29,8,80,0,0,0,7,14,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::ImageOverlayIcon ,0,2,0,0,1,0,1,2,7,2,8,1,0,0,1,3,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::OrientableBlock ,0,2,0,0,1,0,0,0,30,2,7,0,0,0,1,4,2,0,0,0,0,0,0
org::eclipse::pde::internal::core::plugin::PluginHandler ,14,1,2,12,78,1,7,0,89,13,30,7,0,0,11,53,30,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::MovedTextFileChange ,1,1,1,0,1,0,1,0,22,2,0,1,0,0,2,6,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::MacroIndex ,2,2,1,1,1,0,0,0,9,2,15,0,0,0,2,5,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::exports::CrossPlatformExportPage ,15,2,4,13,36,0,3,0,116,9,3,3,4,0,4,78,28,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::registry::RegistryBrowser ,17,1,10,8,325,0,25,0,478,26,0,21,10,0,9,142,70,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExtensionHyperLink ,2,2,1,1,1,0,0,1,6,2,10,0,0,0,2,4,2,0,0,0,0,0,0
org::eclipse::pde::internal::core::schema::BaseSchemaHandler ,6,1,3,3,15,3,1,0,29,6,30,0,0,0,5,15,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::TargetSourceTab ,14,1,3,13,78,0,12,0,198,13,6,12,4,0,6,82,25,1,0,0,0,0,1
org::eclipse::pde::internal::core::site::VersionableObject ,5,4,1,4,10,1,2,9,23,5,49,1,0,0,3,14,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::CSAbstractSubDetails ,0,4,0,0,1,3,0,0,10,2,32,0,0,0,2,2,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSAddSubStepAction ,6,1,1,5,10,0,2,0,70,5,0,2,2,0,3,29,14,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::LaunchPluginValidator ,26,1,12,15,28,0,0,0,241,8,6,0,2,0,6,142,74,2,0,1,0,0,1
org::eclipse::pde::internal::ui::build::BaseBuildAction ,6,1,2,4,36,2,1,0,149,9,6,0,1,0,6,53,26,1,0,0,0,0,1
org::eclipse::pde::internal::ui::tests::macro::MacroCommandShell ,25,2,2,24,406,0,7,0,390,29,15,7,11,0,15,177,122,0,0,0,0,0,0
org::eclipse::pde::internal::ui::SWTFactory ,6,1,6,0,136,0,0,0,165,17,6,0,0,0,17,59,25,2,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::schema::SchemaAttributeDetails ,12,4,3,9,36,4,12,2,199,9,47,12,1,0,6,55,19,1,0,0,0,0,1
org::eclipse::pde::internal::ui::launcher::LauncherUtils ,24,1,9,17,190,0,3,0,338,20,6,3,11,0,9,171,79,2,0,0,0,0,1
org::eclipse::pde::internal::ui::correction::CreateClassXMLResolution ,15,3,1,14,6,0,0,6,40,4,17,0,1,0,2,31,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::FileNameFilter ,3,1,2,1,1,0,1,0,23,2,0,1,0,0,2,7,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::cheatsheet::RegisterCSOperation ,29,1,1,28,210,0,6,0,407,21,0,2,18,0,2,161,66,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSEditor ,11,4,0,11,171,0,0,1,90,19,73,0,0,0,9,47,24,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpBlock ,7,2,1,6,28,0,1,0,52,8,8,1,0,0,6,21,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewPage ,13,1,3,12,300,2,13,0,313,25,0,9,10,0,9,133,79,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::LibraryVisibilitySection ,18,5,1,17,120,0,9,2,202,16,72,9,6,0,8,100,40,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::site::SiteSourcePage ,3,4,1,2,28,0,0,0,26,8,70,0,0,0,7,10,8,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::PluginJUnitMainTab ,5,3,1,4,6,0,0,46,11,4,19,0,0,0,3,8,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::PluginStatusDialog ,4,1,1,3,55,0,3,0,63,11,0,3,1,0,5,35,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExtensionsPage ,10,2,1,9,6,0,3,0,41,4,28,2,0,0,2,22,12,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::plugin::PluginParentNode ,3,4,0,3,15,2,1,13,28,6,179,1,0,0,6,23,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaRearranger ,13,1,1,12,91,0,1,0,169,14,6,1,0,0,14,108,52,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::LaunchValidationOperation ,10,1,3,7,45,2,2,0,113,10,6,1,2,0,5,54,26,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::PackageFriend ,8,2,6,2,15,0,3,0,19,6,24,3,0,0,6,8,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::DependencyPropertiesDialog ,6,1,3,3,21,0,10,0,82,7,0,10,0,0,4,26,11,0,0,0,0,0,0
org::eclipse::pde::internal::core::feature::FeatureFactory ,9,1,1,8,36,0,1,0,51,9,14,1,0,0,9,24,9,0,0,0,0,0,0
org::eclipse::pde::internal::core::MinimalState ,24,1,16,9,190,1,11,0,185,20,6,5,7,0,8,96,66,2,0,1,0,0,1
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSTask ,10,5,1,9,78,0,2,99,77,13,131,2,0,0,11,45,21,0,0,0,0,0,0
org::eclipse::pde::internal::core::product::WorkspaceProductModel ,9,5,3,6,66,0,4,1,83,12,78,4,0,0,12,41,17,1,0,1,0,0,1
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSInputContextManager ,2,2,1,1,1,0,0,0,10,2,29,0,0,0,2,4,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::BuilderNewWizard ,2,6,0,2,3,0,0,0,10,3,20,0,0,0,3,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::plugin::AbstractExtensions ,18,3,5,13,190,2,5,5,173,20,71,1,0,1,14,121,44,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaFormPage ,13,2,1,12,78,0,6,0,113,13,29,5,7,0,4,55,24,1,0,0,0,0,1
org::eclipse::pde::internal::ui::wizards::provisioner::update::UpdateSiteProvisionerDialog ,7,1,3,4,45,0,9,0,108,10,0,9,4,0,2,40,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::details::TocDetails ,8,4,1,7,210,0,4,0,147,21,39,4,10,0,7,76,27,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::Macro ,7,1,2,5,253,0,5,0,176,23,8,4,9,1,13,102,47,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::AbstractTextChangeListener ,0,2,0,0,0,2,3,0,4,1,9,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::parts::CheckboxTablePart ,13,4,12,1,15,1,0,1,32,6,31,0,0,0,2,10,6,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::CompositeManifestHeader ,18,4,12,6,120,4,5,4,210,16,55,3,0,0,10,78,63,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::RequiresSection ,31,5,1,30,351,0,4,2,365,27,74,4,9,0,11,187,76,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ManifestEditor ,58,4,13,48,780,0,7,5,548,40,78,7,9,0,15,328,150,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::TabFolderLayout ,1,1,1,0,3,0,0,0,30,3,0,0,0,0,1,9,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSContentProvider ,4,2,2,2,10,0,0,0,27,5,9,0,0,0,5,12,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::details::CompCSTaskDetails ,24,4,2,22,351,0,8,0,387,27,32,8,18,0,9,176,59,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::SharedLabelProvider ,48,1,42,6,105,3,15,0,156,15,0,1,6,2,9,73,52,0,0,0,0,0,0
org::eclipse::pde::internal::core::product::Product ,12,3,1,11,861,0,16,7,350,42,67,16,2,0,40,195,111,3,0,0,0,0,1
org::eclipse::pde::internal::core::schema::SchemaRootElement ,7,5,4,3,15,0,3,19,30,6,92,3,0,0,6,16,8,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::provisioner::update::UpdateSiteProvisionerEntry ,0,1,0,0,3,0,2,0,10,3,8,2,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::FeatureAdvancedPage ,7,2,1,6,3,0,6,0,43,3,28,5,0,0,1,17,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::PluginWorkingSet ,10,1,0,10,28,0,4,0,160,8,0,4,2,0,6,56,27,1,0,0,0,0,1
org::eclipse::pde::internal::ui::views::plugins::JavaSearchActionGroup ,9,1,3,7,10,0,0,0,71,5,0,0,3,0,2,46,21,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::TocSourcePage ,12,4,2,10,78,0,0,0,59,13,70,0,0,0,8,34,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::actions::TocAddAnchorAction ,6,2,1,5,1,0,0,2,13,2,4,0,0,0,2,10,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::toc::TocDocumentHandler ,2,3,1,2,3,0,1,2,10,3,54,1,0,0,1,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpFormOutlinePage ,7,3,1,6,6,0,0,4,27,4,21,0,0,0,2,12,9,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::BundleModelFactory ,21,1,2,19,1,0,1,0,45,2,7,1,0,0,2,36,19,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::FeatureEditorContributor ,4,3,0,4,28,0,3,3,34,8,33,3,0,0,6,18,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::nls::ModelChange ,15,1,8,7,120,0,9,0,116,16,6,8,2,0,13,53,50,0,0,0,0,0,0
org::eclipse::pde::internal::core::PDECoreMessages ,0,1,0,0,0,0,185,0,0,0,0,1,0,184,0,0,0,4,1,1,0,0,1
org::eclipse::pde::internal::ui::wizards::feature::PluginListPage ,11,2,3,8,15,0,3,1,119,6,4,3,1,0,4,42,20,0,0,0,0,0,0
org::eclipse::pde::internal::core::plugin::WorkspaceFragmentModel ,11,8,8,3,6,1,1,4,14,4,172,1,0,0,4,8,4,0,0,0,0,0,0
org::eclipse::pde::internal::core::builders::UpdateSiteBuilder ,4,1,0,4,1,0,0,0,29,2,0,0,1,0,0,14,7,1,0,0,0,0,1
org::eclipse::pde::internal::core::product::SplashInfo ,7,3,2,5,231,0,18,5,170,22,44,10,3,0,19,86,83,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::site::MirrorsSection ,8,3,1,7,66,0,1,0,87,12,21,1,2,0,10,53,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::PackageHyperlink ,6,3,1,5,1,0,1,1,19,2,13,0,0,1,1,12,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::product::UpdateSplashHandlerAction ,15,1,3,12,630,0,9,14,425,36,0,9,23,0,13,153,85,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::ColorManager ,9,1,7,2,36,0,3,28,85,9,9,3,2,0,7,36,21,0,0,0,0,0,0
org::eclipse::pde::internal::core::SourceLocation ,6,1,5,1,28,0,2,0,28,8,6,2,0,0,8,12,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::UpdateBuildpathWizardPage ,8,1,2,7,21,0,4,0,49,7,0,4,1,0,6,29,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::search::dependencies::DependencyExtentQuery ,4,1,2,2,21,0,3,0,38,7,6,3,0,0,7,18,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::UpdateClasspathJob ,6,1,2,5,3,0,1,0,51,3,0,0,0,1,2,23,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::plugin::LibraryPluginJarsPage ,10,1,1,9,28,0,4,0,197,8,0,0,4,0,4,67,20,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::exports::ExportDestinationTab ,11,2,5,6,55,2,10,1,146,11,13,0,1,0,2,53,25,1,0,0,0,0,1
org::eclipse::pde::internal::ui::editor::product::ProductEditorContributor ,0,2,0,0,0,0,0,3,3,1,20,0,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::FeatureReferencePage ,6,2,1,5,6,0,4,0,52,4,28,3,0,0,2,18,4,0,0,0,0,0,0
org::eclipse::pde::internal::core::feature::FeatureImport ,18,5,5,13,153,0,5,31,135,18,79,5,0,0,16,77,49,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::cheatsheet::RegisterCSWizard ,4,1,1,3,10,0,2,0,32,5,0,2,1,0,4,14,7,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::FileRenameParticipant ,2,2,0,2,1,0,0,2,17,2,9,0,0,0,1,8,4,0,0,0,0,0,0
org::eclipse::pde::internal::core::PluginModelDelta ,6,1,6,0,21,0,7,0,25,7,6,4,2,0,5,14,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::correction::RemoveInternalDirectiveEntryResolution ,4,3,1,3,6,0,1,5,18,4,14,1,0,0,3,8,6,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::toc::TocDragAdapter ,5,1,1,5,15,0,2,0,68,6,6,2,1,0,5,30,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::TextUtil ,10,1,6,4,15,0,1,0,115,6,6,1,3,0,3,45,42,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::RefactoringActionFactory ,5,1,2,3,3,0,0,0,45,3,6,0,1,0,2,8,4,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::OverviewPage ,7,2,1,6,55,0,1,0,71,11,28,0,5,0,4,42,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::views::dependencies::CallersTreeContentProvider ,4,4,1,3,10,0,0,0,27,5,18,0,0,0,5,11,9,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::PreferencePageTemplate ,13,5,0,13,66,0,2,13,78,12,80,2,1,0,8,42,17,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::tools::ConvertJarsAction ,5,1,0,5,6,0,2,0,69,4,6,2,0,0,4,43,15,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::ctxhelp::details::CtxHelpContextDetails ,4,4,1,3,28,0,4,0,77,8,34,4,0,0,6,29,11,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::PDESourcePage ,45,1,35,14,1275,2,11,0,369,51,7,11,2,0,36,180,107,1,1,0,0,0,1
org::eclipse::pde::internal::ui::editor::site::SynchronizePropertiesWizardPage ,8,1,1,7,28,0,8,0,120,8,0,6,5,0,3,41,18,0,0,0,0,0,0
org::eclipse::pde::internal::core::builders::ExtensionsErrorReporter ,47,3,3,44,325,1,2,5,525,26,65,2,11,0,3,363,181,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::site::SiteOutlinePage ,13,3,2,11,10,0,1,4,65,5,21,1,0,0,3,37,23,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::bundle::PackageObject ,20,3,15,5,21,2,2,4,45,7,44,2,0,0,7,27,16,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::rcp::HelloNonUIRCPTemplate ,12,5,1,11,55,0,2,13,60,11,80,0,2,0,8,35,12,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::FileValidator ,12,1,11,1,1,0,0,0,8,2,6,0,0,0,2,6,3,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::CommonNavigatorTemplate ,10,5,0,10,91,0,7,13,120,14,80,4,7,0,6,67,18,0,0,0,0,0,0
org::eclipse::pde::internal::ui::util::ModelModification ,4,1,2,2,55,4,5,0,59,11,6,5,3,0,2,27,23,0,0,0,0,0,0
org::eclipse::pde::internal::ui::views::dependencies::HistoryDropDownAction ,5,1,1,5,15,0,3,0,37,6,0,2,1,0,4,18,9,0,0,0,0,0,0
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSTaskObject ,12,4,2,10,325,2,8,62,164,26,68,1,0,0,21,89,43,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::AbstractPluginBlock ,24,1,5,19,528,2,24,0,436,33,6,15,4,0,8,187,83,5,0,0,0,0,1
org::eclipse::pde::internal::core::text::plugin::PluginDocumentNodeFactory ,12,2,3,9,45,0,1,0,76,10,15,1,1,0,9,48,24,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::toc::TocObject ,18,4,14,4,105,3,1,28,81,15,233,1,0,0,14,35,23,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::PluginInputContextManager ,11,2,1,10,78,0,1,0,92,13,29,1,9,0,3,49,31,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::product::SplashConfigurationSection ,16,3,1,15,780,0,13,0,469,40,21,13,34,0,5,200,80,1,0,0,0,0,1
org::eclipse::pde::internal::ui::build::BuildSiteAction ,12,1,0,12,10,0,2,0,67,5,6,2,2,0,3,39,13,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::TargetInputContextManager ,2,2,1,1,1,0,0,0,7,2,29,0,0,0,2,4,3,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::spy::sections::ActiveHelpSection ,6,1,1,5,10,0,1,0,132,5,7,1,3,0,2,57,29,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::CSAbstractEditor ,6,3,2,4,21,2,1,1,63,7,72,1,6,0,1,25,9,0,0,0,0,0,0
